Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2013,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,17,0,459,977,5,The Last of Us
2008,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,17,4,457,1232,1,LittleBigPlanet
1998,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,15,0,543,264,5,Resident Evil 2
2009,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,4,7,361,832,2,Dragon Quest IX: Sentinels of the Starry Skies
1996,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,15,2,457,967,7,Tekken 2
2014,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,18,8,21,254,7,Destiny
2007,3.57,1.55,0,0.51,5.64,80,17,8.9,62,26,0,290,1496,2,LEGO Star Wars: The Complete Saga
2006,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,4,9,6,1421,1,Cooking Mama
1988,2.97,0.69,1.81,0.11,5.58,71,22,7.5,24,11,5,361,1558,8,Tetris
1999,2.95,0.6,1.97,0.04,5.55,71,22,7.5,24,10,2,361,1558,8,Super Smash Bros.
2009,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,17,0,527,1532,5,Assassin's Creed II
2007,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,28,1,527,1532,5,Assassin's Creed
2009,2.99,1.9,0.1,0.5,5.49,92,90,8,516,28,6,325,1513,1,Forza Motorsport 3
2001,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,6,4,361,1008,1,Super Mario Advance
2008,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,19,7,85,264,7,Monster Hunter Freedom Unite
2011,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,17,0,550,1215,7,Batman: Arkham City
2014,2.81,2.19,0,0.47,5.48,97,14,7.9,764,30,0,496,1208,5,Grand Theft Auto V
2001,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,6,6,361,724,1,Mario Kart: Super Circuit
2001,3.21,1.11,0.95,0.2,5.46,71,22,7.5,24,6,4,361,1558,8,Super Mario World
1999,3.18,1.24,0.94,0.09,5.45,71,22,7.5,24,10,11,361,1558,8,Pokemon Stadium
2001,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,16,4,530,1496,1,Crash Bandicoot: The Wrath of Cortex
2008,2.73,1.83,0,0.83,5.39,85,45,7.6,409,17,8,21,1499,5,Call of Duty: World at War
2016,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,18,8,457,977,7,Uncharted 4: A Thief's End
1989,2.18,0.96,2,0.2,5.34,71,22,7.5,24,5,5,361,1558,8,Dr. Mario
2009,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,17,7,466,1351,7,Final Fantasy XIII
1999,3.02,1.12,1.01,0.16,5.31,71,22,7.5,24,5,3,361,1558,8,Pokemon Pinball
2000,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,15,7,468,1356,7,Final Fantasy IX
2012,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,28,0,527,1524,5,Assassin's Creed III
2003,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,16,7,139,1356,7,Final Fantasy X-2
1999,3.33,0.79,1.09,0.06,5.27,71,22,7.5,24,10,4,361,1558,8,Donkey Kong 64
2014,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,30,8,21,1312,5,Call of Duty: Advanced Warfare
2014,2.03,2.37,0,0.87,5.26,71,22,7.5,24,17,3,457,1558,8,Minecraft
2009,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,28,0,527,1532,5,Assassin's Creed II
1997,2.3,2.46,0.2,0.28,5.24,85,13,7.5,24,15,0,138,318,7,Tomb Raider II
2013,0.97,2.11,1.9,0.24,5.23,71,22,7.5,24,2,9,361,1558,8,Madden NFL 2004
2012,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,27,4,361,1008,1,Tomodachi Life
2004,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,16,7,466,832,7,New Super Mario Bros. U
2003,2.93,1.25,0.83,0.2,5.2,71,22,7.5,24,6,4,361,1558,8,Dragon Quest VIII: Journey of the Cursed King
